arm,checkpoint,domain,block,population,rows,sources,mse
D-physical-distance,constant,relaxed,l2,T400,192,3,1.1270362283491218
D-physical-distance,constant,relaxed,l2,T450,192,3,1.060144254937768
D-physical-distance,constant,relaxed,l2,T500,192,3,1.062315901974216
D-physical-distance,constant,relaxed,l2,T510,192,3,0.8834249169643347
D-physical-distance,constant,relaxed,l2,T520,192,3,1.3270587754280614
D-physical-distance,constant,relaxed,l4,all,960,15,0.8571950663502017
D-physical-distance,constant,relaxed,l4,PTM_other,686,15,0.9604200017670108
D-physical-distance,constant,relaxed,l4,PTM_crystalline,274,13,0.5837207829962027
D-physical-distance,constant,relaxed,l4,T400,192,3,0.862510718870908
D-physical-distance,constant,relaxed,l4,T450,192,3,0.8160301084863022
D-physical-distance,constant,relaxed,l4,T500,192,3,0.7714831891935318
D-physical-distance,constant,relaxed,l4,T510,192,3,0.782148519802528
D-physical-distance,constant,relaxed,l4,T520,192,3,1.0538027953977387
