field,phase,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block1/point_numerator,FCC,8,12,p1,10,-0.015565711989207313,-0.03685170718103629,0.005789837245355609
block1/point_numerator,FCC,8,12,p2,10,0.0021006082796113743,-0.0015341827043530076,0.005716626921455531
block1/point_numerator,FCC,8,12,shuffle_p1,10,0.009018640484529963,0.006789966012641887,0.011191487088996904
block1/point_numerator,FCC,8,12,shuffle_p2,10,-0.0016184250727998097,-0.007957102588556947,0.004947842871426581
block1/point_numerator,FCC,8,12,excess_p1,10,-0.024584352473737275,-0.044915774830259415,-0.0039656199005801635
block1/point_numerator,FCC,8,12,excess_p2,10,0.0037190333524111828,-0.0018887505377277313,0.009320664898789754
block1/point_numerator,HCP,0,4,p1,9,,,
block1/point_numerator,HCP,0,4,p2,9,,,
block1/point_numerator,HCP,0,4,shuffle_p1,9,,,
block1/point_numerator,HCP,0,4,shuffle_p2,9,,,
block1/point_numerator,HCP,0,4,excess_p1,9,,,
block1/point_numerator,HCP,0,4,excess_p2,9,,,
block1/point_numerator,HCP,8,12,p1,8,,,
block1/point_numerator,HCP,8,12,p2,8,,,
block1/point_numerator,HCP,8,12,shuffle_p1,8,,,
block1/point_numerator,HCP,8,12,shuffle_p2,8,,,
block1/point_numerator,HCP,8,12,excess_p1,8,,,
block1/point_numerator,HCP,8,12,excess_p2,8,,,
block1/point_numerator,HCP,18,26,p1,9,,,
block1/point_numerator,HCP,18,26,p2,9,,,
block1/point_numerator,HCP,18,26,shuffle_p1,9,,,
block1/point_numerator,HCP,18,26,shuffle_p2,9,,,
block1/point_numerator,HCP,18,26,excess_p1,9,,,
block1/point_numerator,HCP,18,26,excess_p2,9,,,
block1/point_numerator,HCP,26,40,p1,9,,,
block1/point_numerator,HCP,26,40,p2,9,,,
block1/point_numerator,HCP,26,40,shuffle_p1,9,,,
block1/point_numerator,HCP,26,40,shuffle_p2,9,,,
block1/point_numerator,HCP,26,40,excess_p1,9,,,
block1/point_numerator,HCP,26,40,excess_p2,9,,,
block2_mlp_input/point_numerator,FCC,4,8,p1,10,0.007816042620469588,0.003269692025455314,0.012437227607570253
block2_mlp_input/point_numerator,FCC,4,8,p2,10,0.0042906737102042306,0.0019039444495042193,0.006683588173646625
block2_mlp_input/point_numerator,FCC,4,8,shuffle_p1,10,0.004988266129141534,0.0024810748002863535,0.007482680916440241
block2_mlp_input/point_numerator,FCC,4,8,shuffle_p2,10,0.00123805617171938,0.0007317157283578025,0.0017015225876388478
block2_mlp_input/point_numerator,FCC,4,8,excess_p1,10,0.002827776491328056,-0.0008554683873311711,0.006511021369987283
block2_mlp_input/point_numerator,FCC,4,8,excess_p2,10,0.0030526175384848492,0.0011346254539645133,0.0050904850892257185
block2_mlp_input/point_numerator,FCC,8,12,p1,10,-0.02360835917493847,-0.05098957041924198,0.004470064800254364
block2_mlp_input/point_numerator,FCC,8,12,p2,10,0.009629411570238746,0.0006381434427441775,0.018646617516460427
block2_mlp_input/point_numerator,FCC,8,12,shuffle_p1,10,0.0006354518354484853,-0.00508515324134773,0.006370184621960848
block2_mlp_input/point_numerator,FCC,8,12,shuffle_p2,10,0.0009012526857326416,0.0002537147202552954,0.0015352659135480487
block2_mlp_input/point_numerator,FCC,8,12,excess_p1,10,-0.02424381101038695,-0.047129667696797564,-0.0013579543239763331
block2_mlp_input/point_numerator,FCC,8,12,excess_p2,10,0.008728158884506104,-0.0007888037053957974,0.018245154957083287
block2_mlp_input/point_numerator,HCP,0,4,p1,9,,,
block2_mlp_input/point_numerator,HCP,0,4,p2,9,,,
block2_mlp_input/point_numerator,HCP,0,4,shuffle_p1,9,,,
block2_mlp_input/point_numerator,HCP,0,4,shuffle_p2,9,,,
