task,family,method,source,temperature_K,caliper_A,target,n,loss,true_contrast_rms
structure,linear,plus_gatr,1000,510.0,0.1,qbar6,7473,0.12981282471711678,0.2878109178255946
structure,linear,plus_gatr,1000,510.0,0.1,q6_coherence,7473,0.16547992694293534,0.3405745462688651
structure,linear,plus_gatr,1000,510.0,0.1,bond_order,7473,1.0104560706822858,0.9947772027322734
structure,linear,plus_gatr,1000,510.0,0.1,angular_arrangement,7473,0.9227751084951578,1.0270293560948809
structure,linear,plus_gatr,1001,510.0,0.1,q4,11038,0.8212487182177893,0.8978323454131423
structure,linear,plus_gatr,1001,510.0,0.1,q6,11038,0.17863514947702133,0.4285204217098126
structure,linear,plus_gatr,1001,510.0,0.1,w4,11038,0.9617056718157718,0.969194001961416
structure,linear,plus_gatr,1001,510.0,0.1,w6,11038,0.4871154201374742,0.6915470759393563
structure,linear,plus_gatr,1001,510.0,0.1,qbar6,11038,0.10305925200706798,0.29217495095791196
structure,linear,plus_gatr,1001,510.0,0.1,q6_coherence,11038,0.12104975660754881,0.311294475741892
