variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
D,state_history,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.57350614727423,0.7398405642354757,30
D,state_history,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6214777436800716,0.7620179358802531,30
D,state_history,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6449486160384389,0.8187512058203317,30
D,state_history,low_order,encoder,future/0.75ps/block_mean,1,0.45880680859965434,0.3779830704662291,0.551696598045893,17
D,state_history,low_order,encoder,future/3ps/block_mean,1,0.4451482062246286,0.38828385800999754,0.5107670906657243,17
D,state_history,low_order,encoder,future/9ps/block_mean,1,0.39654895718045097,0.32969498535362535,0.466112240216713,17
D,state_history,low_order,encoder,present/block_mean,1,0.291298956738091,0.2510745788559172,0.33216178358587267,17
D,state_history,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9870408335013083,0.9262236684989242,1.050787425055609,16
D,state_history,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5958850522452563,0.8457609371081286,17
D,state_history,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5769839247597345,0.7920136658474801,17
D,state_history,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5964454858052527,0.8535736523614282,17
repeated_anchor,joint,all,encoder,future/0.75ps/block_mean,1,0.41108531564888035,0.36843614159617577,0.4554334776294936,30
repeated_anchor,joint,all,encoder,future/3ps/block_mean,1,0.44638144284900694,0.40465444215780333,0.4937125493198012,30
repeated_anchor,joint,all,encoder,future/9ps/block_mean,1,0.43934490167432355,0.39330874651825676,0.4894853285689735,30
repeated_anchor,joint,all,encoder,present/block_mean,1,0.3436174567064478,0.30792009399660547,0.3817077242125135,30
repeated_anchor,joint,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8128546383063858,0.7244305575985907,0.9017106051621526,30
repeated_anchor,joint,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.577665935433987,0.7376757531618283,30
repeated_anchor,joint,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6241115163209745,0.7635658937648663,30
repeated_anchor,joint,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.644298176193972,0.819222979069584,30
repeated_anchor,joint,low_order,encoder,future/0.75ps/block_mean,1,0.4552664542022873,0.3781355609313823,0.5334580709664698,17
repeated_anchor,joint,low_order,encoder,future/3ps/block_mean,1,0.4373783948009504,0.3813745826208854,0.49381379744713655,17
repeated_anchor,joint,low_order,encoder,future/9ps/block_mean,1,0.3976597297279274,0.33013207794294935,0.46564472795774525,17
repeated_anchor,joint,low_order,encoder,present/block_mean,1,0.36106332161409016,0.30744220621372553,0.4142806150357,17
repeated_anchor,joint,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9972971696248822,0.939493586559447,1.0565496119740332,16
repeated_anchor,joint,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5917708839143754,0.839296393229754,17
repeated_anchor,joint,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5733173677168203,0.7999605825956108,17
repeated_anchor,joint,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5996703654851802,0.8446043700198916,17
repeated_anchor,linear,all,encoder,future/0.75ps/block_mean,1,0.41928108976119094,0.37873358190939244,0.461839946666215,30
repeated_anchor,linear,all,encoder,future/3ps/block_mean,1,0.4514264314745864,0.4088372112733002,0.49810699512354195,30
repeated_anchor,linear,all,encoder,future/9ps/block_mean,1,0.45180646158340904,0.4061796659551974,0.5043133157605513,30
repeated_anchor,linear,all,encoder,present/block_mean,1,0.3480235405162804,0.31026733117048727,0.38705597779506606,30
