method,source,temperature_K,lag_ps,displacement2
tda,1000,510.0,12.0,0.1712641996063034
tda,1000,510.0,24.0,0.18521273147709855
tda,1000,510.0,48.0,0.2270688072528224
tda,1000,510.0,96.0,0.33969134045268917
tda,1000,510.0,192.0,0.5222472202510092
tda,1001,510.0,0.75,0.14478186119948505
tda,1001,510.0,1.5,0.14619842782769907
tda,1001,510.0,3.0,0.1503114351400997
tda,1001,510.0,6.0,0.1541783906662224
tda,1001,510.0,12.0,0.1697877522775249
tda,1001,510.0,24.0,0.20057098889722894
tda,1001,510.0,48.0,0.25427235267742415
tda,1001,510.0,96.0,0.35579387737997625
tda,1001,510.0,192.0,0.6769661419087026
tda,881,520.0,0.75,0.14887721354212788
tda,881,520.0,1.5,0.1535640997023058
tda,881,520.0,3.0,0.16212549221832687
tda,881,520.0,6.0,0.1638114966319618
tda,881,520.0,12.0,0.1794588062328664
tda,881,520.0,24.0,0.21143498945253264
tda,881,520.0,48.0,0.29728319168563405
tda,881,520.0,96.0,0.4914836075462537
tda,881,520.0,192.0,1.0148954064117808
tda,1009,520.0,0.75,0.14400892910390226
tda,1009,520.0,1.5,0.14799958791557227
tda,1009,520.0,3.0,0.1546656513527818
tda,1009,520.0,6.0,0.15847370820962853
tda,1009,520.0,12.0,0.17572336067931835
tda,1009,520.0,24.0,0.22335717987948617
tda,1009,520.0,48.0,0.33218928264441977
tda,1009,520.0,96.0,0.5672221540972732
tda,1009,520.0,192.0,1.0435648660050678
