left,right,readout,population,metric,seeds,value,ci95_low,ci95_high,sources
state_history,state_constant,B,all,future/0.75ps/instantaneous_TDA_H1,3,0.00026073596543735924,-0.0019512716639373034,0.0024488248303532593,30
state_history,state_constant,B,all,future/0.75ps/instantaneous_TDA_H2,3,-0.0013746530231502322,-0.003196380492299795,0.0004383754130038938,30
state_history,state_constant,B,all,future/0.75ps/motion_even,3,-0.013251999351713391,-0.037905318554904734,0.010654628889428237,30
state_history,state_constant,B,all,future/0.75ps/motion_odd,3,0.020893200900819565,0.005379668697714804,0.0357717520246903,30
state_history,state_constant,B,all,future/3ps/block_mean,3,0.001277540106740263,-0.0033968588133790945,0.006345557056850294,30
state_history,state_constant,B,all,future/3ps/bond_order,3,-0.005320345030890569,-0.009862931192749076,-0.0010264399564928494,30
state_history,state_constant,B,all,future/3ps/instantaneous_TDA_H0,3,-0.0009793181386258869,-0.002844924045105776,0.0009060249767369687,30
state_history,state_constant,B,all,future/3ps/instantaneous_TDA_H1,3,-0.0005509419573677909,-0.0027261340866486235,0.0016308482218947652,30
state_history,state_constant,B,all,future/3ps/instantaneous_TDA_H2,3,-0.0016505157368050679,-0.0033554250488264685,3.0122626986768094e-05,30
state_history,state_constant,B,all,future/3ps/motion_even,3,0.005237506164444817,-0.01536963400741418,0.02748593244287701,30
state_history,state_constant,B,all,future/3ps/motion_odd,3,0.010928855339686077,-0.00273463593588935,0.023842462466822728,30
state_history,state_constant,B,all,future/9ps/block_mean,3,-0.0050830654730951354,-0.010952495075417339,0.00037923393046690137,30
state_history,state_constant,B,all,future/9ps/bond_order,3,-0.003050493200620016,-0.008706952126489744,0.0018884182266063136,30
state_history,state_constant,B,all,future/9ps/instantaneous_TDA_H0,3,-0.0010853529804282717,-0.003257254672547182,0.0012087121398912531,30
state_history,state_constant,B,all,future/9ps/instantaneous_TDA_H1,3,-0.0009934235364198684,-0.0026541262492537497,0.0006502926401380001,30
state_history,state_constant,B,all,future/9ps/instantaneous_TDA_H2,3,-0.0012870528631740146,-0.0030375287412769264,0.00042307234265737923,30
state_history,state_constant,B,all,future/9ps/motion_even,3,-0.022165457076496548,-0.05391792582141029,0.007924683292706802,30
state_history,state_constant,B,all,future/9ps/motion_odd,3,-0.0019166131814320883,-0.02114758657084571,0.015583516806364052,30
state_history,state_constant,B,all,path/0.75ps/mean_std_qbar6,3,-0.0054368682671338325,-0.008408099489622853,-0.002782738808697713,30
state_history,state_constant,B,all,path/3ps/mean_std_qbar6,3,-0.004983360087499023,-0.007771334631316778,-0.002371750985686152,30
state_history,state_constant,B,all,path/9ps/mean_std_qbar6,3,-0.003803823051405036,-0.006716402851614274,-0.0010411660280725409,30
state_history,state_constant,B,at_risk,hazard/bin0/brier,3,0.00029060818352080433,-5.046492394534932e-05,0.0006391900144063888,24
state_history,state_constant,B,at_risk,hazard/bin1/brier,3,0.0007555732852135102,-0.00023213531211104682,0.0017977785739874878,24
state_history,state_constant,B,at_risk,hazard/bin2/brier,3,0.0014844853931966402,-0.00026808928149269683,0.003849227548622339,24
state_history,state_constant,B,at_risk,hazard/nll,3,0.0007409350558494526,-0.0035913597045388697,0.004666008307928374,24
state_history,state_constant,B,low_order,delta/0.75ps/block_mean,3,0.0027220300063977893,0.000458172915101641,0.004940228593334868,17
